alim_nom_fr,Calories,Proteines,Glucides,Lipides
"Truite, rôtie/cuite au four",183,"26,6",traces,"8,47"
"Truite, cuite à la vapeur","99,4",19,traces,"2,6"
"Truite arc en ciel, élevage, rôtie/cuite au four",143,"21,5",traces,"6,33"
"Truite arc en ciel, élevage, cuite à la vapeur",117,20,traces,"4,14"
"Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit",79,"17,5",traces,1
"Truite d'élevage, fumée",180,"23,4","0,69","9,27"
"Bar commun ou loup, rôti/cuit au four",147,"22,2",traces,"6,51"
"Dorade (Daurade) royale, cuite au four",148,"23,6",traces,"5,9"
"Bar rayé ou bar d'Amérique, cru",113,"20,3",traces,"3,58"
"Lieu ou colin d'Alaska, cru","70,8","16,3",traces,"0,61"
"Flétan de l'Atlantique ou flétan blanc, cru","96,5","21,2",traces,"1,31"
"Hareng, cru",176,"17,7",traces,"11,7"
"Lotte ou baudroie, crue","67,2","15,1",traces,"0,74"
"Saumon, cru, élevage",194,"20,5",traces,"12,4"
"Turbot sauvage, cru","91,5","17,2",traces,"2,54"
"Cabillaud, cru","77,6","18,1",traces,"0,57"
"Merlu, cru","82,6","17,6",traces,"1,35"
"Lieu noir, surgelé, cru","82,4","19,8",traces,"0,37"
"Merlu, filet, surgelé, cru",82,"15,1",traces,"2,4"
"Maquereau, cru",194,"18,1",traces,"13,5"
"Raie, crue","89,9","21,4",traces,"0,47"
"Thon, cru",144,24,traces,"5,38"
"Carrelet ou plie, cru","88,6",20,traces,"0,94"
"Limande, crue","80,8","18,3",traces,"0,85"
"Sole, crue","77,3",18,traces,"0,6"
"Rascasse, crue","87,6","18,9",traces,"1,33"
"Thon albacore ou thon jaune, cru",108,25,traces,"0,94"
"Sardine, crue",163,"19,5",traces,"9,48"
"Thon listao ou Bonite à ventre rayé, cru","97,1",22,traces,"1,01"
"Thon rouge, cru",155,"23,3",traces,"6,81"
"Bar commun ou loup, cru, sans précision","82,5","19,1",traces,"0,7"
"Roussette ou petite roussette ou saumonette, crue","97,8","23,3",traces,"0,5"
"Bar ou loup de l'Atlantique, cru","89,9","16,6",traces,"2,61"
"Thon germon ou thon blanc, cru",121,"27,2",traces,"1,37"
"Anchois commun, cru",129,"18,6",traces,"6,07"
"Dorade royale, ou daurade ou vraie daurade, crue, sauvage","93,2","18,1",traces,"2,31"
"Espadon, cru",130,"18,9",traces,"5,97"
"Éperlan, cru","85,4","17,5",traces,"1,7"
"Cardine franche, crue","93,4","19,9",traces,"1,53"
"Rouget-barbet de roche, cru",158,"18,4",traces,"9,37"
"Dorade royale ou daurade ou vraie daurade, crue, élevage",129,"20,9",traces,"5,1"
"Mulet, cru",113,"20,1",traces,"3,62"
"Truite de mer, crue",111,"19,6",traces,"3,63"
"Merlan, cru","79,3","18,8",traces,"0,47"
"Morue, salée, sèche",206,"47,6",traces,"1,67"
"Dorade grise, ou daurade grise, ou griset, crue",130,"20,5",traces,"5,27"
"Bogue, crue",90,"17,9",traces,"2,03"
"Bonite, crue",161,"22,3",traces,"8,01"
"Maquereau espagnol ou maquereau blanc ou billard, cru",135,"22,1",traces,"5,15"
"Denté, cru","99,3",17,traces,"3,5"
"Saint-Pierre, cru","86,7","19,9",traces,"0,8"
"Grondin, cru",94,19,traces,2
"Corb, cru","87,2",20,traces,"0,8"
"Capelan, cru",90,"18,7",traces,"1,71"
"Dorade rose, ou daurade rose, crue",102,21,traces,2
"Rouget-barbet de roche, vapeur",143,"24,1",traces,"5,2"
"Saupe, crue","94,5",18,traces,"2,5"
"Chinchard, cru",116,19,traces,"4,42"
"Églefin, cru","72,3","17,3",traces,"0,35"
"Congre, cru",115,"18,3",traces,"4,6"
"Grenadier (de roche), cru","68,9","15,4",traces,"0,81"
"Lieu jaune ou colin, cru","75,5","17,7",traces,"0,51"
"Julienne ou Lingue, crue","80,8","19,2",traces,"0,44"
"Tacaud, cru","81,6","19,7",traces,"0,33"
"Lieu noir, cru","82,5","18,8",traces,"0,8"
"Limande-sole, crue","80,6",17,traces,"1,4"
"Foie de morue, cru",619,5,traces,"66,6"
"Vivaneau, cru","94,1","20,5",traces,"1,34"
"Sabre, cru",125,18,traces,"5,9"
"Flétan du Groënland ou flétan noir ou flétan commun, cru",168,"13,5",traces,"12,7"
"Carangue, cru",104,"19,9",traces,"2,7"
"Coulirou, cru","70,9","17,5",traces,"0,1"
"Saumon, cru, sauvage",166,21,traces,"9,17"
"Requin, cru",109,"20,8",traces,"2,91"
"Orphie commune, crue",133,20,traces,"5,91"
"Lompe, crue",168,10,traces,"14,2"
"Brème, cru",104,"16,9",traces,4
"Omble chevalier, cru",103,"19,8",traces,"2,7"
"Loup tacheté, cru",108,"16,3",traces,"4,8"
"Sprat, cru",186,"19,8",traces,"11,9"
"Turbot, cru","85,5","17,9",traces,"1,55"
"Corégone lavaret, cru",115,"20,5",traces,"3,72"
"Mérou, cru","82,3","18,6",traces,"0,86"
"Lingue bleue ou Lingue, crue","79,6","18,9",traces,"0,44"
"Sole tropicale ou Sole langue, crue","68,2","15,7",traces,"0,58"
"Turbot d'élevage, cru",109,"18,3",traces,"3,94"
"Bar commun ou loup (Méditerranée), cru, sauvage","97,9","20,1",traces,"1,94"
"Bar commun ou loup (Méditerranée), cru, élevage",124,"21,4",traces,"4,25"
"Baudroie rousse ou Lotte, crue","70,2","16,7",traces,"0,37"
"Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue","89,5","18,8",traces,"1,6"
"Hoki, tout lieu de pêche, cru","92,3","17,8",traces,"2,36"
"Grenadier bleu ou hoki de Nouvelle-Zélande, cru","75,5","15,6",traces,"1,46"
"Grondin perlon, cru","97,4","20,3",traces,"1,79"
"Merlu blanc du Cap, surgelé, cru",78,"16,1",traces,"1,52"
"Chinchard maigre, cru","96,7","18,7",traces,"2,42"
"Chinchard gras, cru",147,"19,6",traces,"7,66"
"Hareng maigre, cru",111,"18,3",traces,"4,22"
"Hareng gras, cru",172,"18,7",traces,"10,8"
"Joëls (petits poissons entiers) pour friture, crus","88,9","17,5",traces,"2,1"
"Empereur, filet, sans peau, cru","73,5",15,traces,"1,5"
"Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)","96,7","16,3",traces,"3,5"
"Carpe, crue, élevage",114,"17,7",traces,"4,76"
"Truite d'élevage, crue",133,"19,3",traces,"6,22"
"Truite arc en ciel, crue, élevage",132,19,traces,"6,24"
"Perche, crue","82,2","17,9",traces,"1,19"
"Brochet, cru","83,7","18,8",traces,"0,94"
"Esturgeon, cru",123,"17,7",traces,"5,84"
"Anguille, crue",232,"16,1",traces,"18,6"
"Pangasius ou Poisson-chat, cru","65,2","13,5",traces,"1,27"
"Tilapia, cru","91,6","18,1",traces,"2,13"
"Truite saumonée, crue",143,"19,2",traces,"7,4"
"Lotte de rivière, crue",77,"17,8",traces,"0,66"
"Sandre, cru","82,9","18,3",traces,"1,08"
"Perche du Nil, crue","82,4","19,1",traces,"0,68"
"Bigorneau, cuit",-,"16,3",-,"3,5"
"Coquille Saint-Jacques, noix et corail, cuite",110,"20,2","3,22","1,77"
"Crevette grise, cuite","89,9","18,3","1,47","1,2"
"Crevette, cuite","93,8",19,"1,87","1,16"
"Homard, bouilli/cuit à l'eau","90,9","19,6","0,11","1,32"
"Moule, bouillie/cuite à l'eau",108,"17,2","5,12","2,09"
"Bulot ou Buccin, cuit","97,7","20,7","2,69","0,47"
"Langouste, bouillie/cuite à l'eau",106,"21,8","1,3","1,52"
"Crabe ou Tourteau, bouilli/cuit à l'eau",124,"19,5","1,79","4,29"
"Clam, Praire ou Palourde, bouilli/cuit à l'eau","99,2","16,2","5,33","1,48"
"Écrevisse, cuite","73,5","16,3","0,56","0,7"
"Crevette rose bouquet, cuite",-,"22,8",-,"1,27"
"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",149,"32,5","1,64","1,4"
Fruits de mer (aliment moyen),104,"18,9","3,06","1,76"
"Langoustine, bouillie/cuite à l'eau",-,"20,9",-,"0,98"
"Araignée de mer, cuite",-,"18,3",-,"3,8"
"Crevette pattes blanches, cuite",-,"22,6",-,"0,96"
"Crevette géante tigrée, cuite",-,"23,4",-,"0,98"
"Crevette royale rose, cuite",-,"26,6",-,"1,18"
"Poulpe, cuit",156,"29,8","4,4","2,08"
"Fruits de mer, cuits, surgelés","79,5","13,5","2,83","1,57"
"Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse",173,"17,9","8,45","7,48"
"Escargot, sans matière grasse ajoutée, cuit",80,"16,6","0,23","1,4"
"Grenouille, cuisse, grillée/poêlée",-,"21,9",-,"0,9"
"Calmar ou calamar ou encornet, cru",77,"14,4","2,17","1,19"
"Coquille Saint-Jacques, noix et corail, crue",83,17,"0,78","1,31"
"Escargot, cru","77,9","16,1","1,29","0,92"
"Homard, cru","85,5","17,9","0,94","1,15"
"Huître, sans précision, crue","67,2","8,64","3,86","1,91"
"Moule commune, crue","71,8","11,2","2,69","1,82"
"Langouste, crue","86,9","17,7","1,07","1,34"
"Seiche, crue","76,3","16,2","0,51","1,05"
"Clam, Praire ou Palourde, cru","80,5","11,5","2,66","2,65"
"Poulpe, cru","60,1","12,9","0,97","0,5"
"Bulot ou Buccin, cru",131,"23,8","7,61","0,57"
"Crevette, crue",99,"19,7","3,21","0,84"
"Langoustine, crue","89,8","19,1","1,53","0,79"
"Moule de Méditerranée, crue","68,7","10,7","2,77","1,67"
"Écrevisse, crue","68,3","14,8","0,81","0,64"
"Huître creuse, crue","67,2","8,64","3,86","1,91"
"Huître plate, crue","53,5","10,2","1,16","0,9"
"Crevette, surgelée, crue",105,"23,4","0,74","0,9"
"Crabe, cru",104,"19,5","0,027","2,86"
"Ormeau, cru","99,6","14,4","8,69","0,83"
"Coquille Saint-Jacques, noix, crue","83,6","17,9","1,15","0,84"
"Pecten d'Amérique ou Peigne du canada, noix, crue","81,3","17,3","1,78","0,54"
"Pétoncle ou Peigne du Pérou, noix, crue","88,7","17,5","3,1","0,7"
"Crevette rose, crue","92,3","21,9",0,"0,53"
"Grenouille, cuisse, crue",70,"16,2","0,66","0,28"
"Rillettes de crabe, préemballées",192,"12,2","3,5","13,6"
"Rillettes de poisson, préemballées",243,"13,9","0,3","20,7"
"Rillettes de saumon, préemballées",237,"15,1",2,"18,4"
"Rillettes de thon, préemballées",199,"16,4","1,65","13,8"
"Rillettes de maquereau, préemballées",246,11,1,22
"Terrine de poisson, préemballée",171,11,"5,5","11,4"
"Terrine de fruits de mer, avec ou sans poisson, préemballée",188,"8,4","6,5",14
"Tarama, préemballé",534,"6,75","3,19","54,8"
"Calmar ou Calamar ou encornet, à la romaine (beignet)",252,"8,69","21,2","14,4"
"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",111,"14,8","8,72","1,8"
"Langoustine, panée, frite",282,"10,9",29,"13,6"
Beignet de crevette,222,"6,5",26,10
"Moule, appertisée, égouttée",102,"14,6","5,93","2,2"
"Escargot en sauce au beurre persillé, préemballé, cuit",277,"12,9","2,26","23,7"
"Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée",145,"12,5",5,"7,9"
Accra de poisson,275,"12,4","15,1","17,6"
Carpaccio de saumon avec marinade,194,"19,8","0,22","12,7"
"Maquereau, filet grillé, appertisé, nature, égoutté",246,"19,7","0,55","18,3"
"Anchois, filets roulés aux câpres, semi-conserve, égoutté",198,"24,8","1,48","10,3"
"Anchois, filets à l'huile, semi-conserve, égoutté",182,"26,4","< 0,2","8,45"
"Carrelet ou plie, pané, frit",242,"13,4","8,86","16,8"
"Oeufs de lompe, semi-conserve",111,"10,4",1,"7,27"
"Caviar, semi-conserve",254,25,traces,"17,1"
Hareng mariné ou rollmops,211,"13,7",8,"13,8"
"Limande-sole, panée, frite",206,"16,7","11,9","10,2"
"Pilchard, sauce tomate, appertisé, égoutté",167,13,"3,99",11
"Poisson, croquette ou beignet ou nuggets, frit",255,"13,2","18,4","13,7"
"Poisson pané, surgelé, cru",162,11,"16,1","5,73"
"Poisson pané, frit",193,"11,9","13,4",10
"Sardine, à l'huile, appertisée, égouttée",207,"24,4","0,49",12
"Sardine, sauce tomate, appertisée, égouttée",193,"20,2","1,38","11,6"
"Thon, au naturel, appertisé, égoutté",111,"26,8",0,"0,4"
"Sardine, à l'huile d'olive, appertisée, égouttée",202,"24,3","1,06","11,2"
"Surimi, bâtonnets, tranche ou râpé saveur crabe",125,"8,31","11,8","4,92"
"Oeufs de cabillaud, fumés, semi-conserve",146,"26,9","0,1","4,2"
"Thon germon ou thon blanc, cuit à la vapeur sous pression",165,30,0,"5,06"
"Maquereau, filet sauce tomate, appertisé, égoutté",227,"17,7","1,94","16,3"
"Maquereau, filet sauce moutarde, appertisé, égoutté",217,"20,8","1,09","14,2"
"Maquereau, filet au vin blanc, appertisé, égoutté",207,"17,8","2,25","14,1"
"Saumon, appertisé, égoutté",180,"20,5","1,5","10,2"
"Maquereau, au naturel, appertisé, égoutté",189,"21,6",0,"11,4"
"Merlan, pané",190,"12,6",13,"9,57"
"Foie de morue, appertisé, égoutté",433,"7,25","1,1","44,4"
"Oeufs de truite, semi-conserve",-,"26,3",-,"9,5"
"Anchois au sel (anchoité, semi-conserve)",128,25,0,"3,1"
"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté",192,"31,3","1,01","6,95"
"Thon à l'huile de tournesol, entier, appertisé, égoutté",206,"23,3","0,76","12,2"
"Thon albacore ou thon jaune, au naturel, appertisé, égoutté",128,"26,6","0,58","1,98"
"Maquereau, mariné",185,"16,3",traces,"13,3"
"Anchois commun, mariné, préemballé",136,"23,9","2,7","3,26"
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",213,"21,5","0,62","13,9"
"Surimi, fourré au fromage",149,"6,6","9,24","9,3"
"Thon à la tomate, miettes, appertisées, égouttées",130,"14,6","4,33","5,93"
"Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé",142,"10,8","5,05","8,6"
"Thon à l'huile de tournesol, miettes, appertisées, égouttées",227,"23,4",0,"14,8"
"Oeufs de saumon, semi-conserve",224,"30,8","1,5","10,5"
"Oeuf, blanc (blanc d'oeuf), cuit","47,3","10,3","1,12","0,17"
"Oeuf, jaune (jaune d'oeuf), cuit",340,16,"1,31","30,1"
"Oeuf, dur",134,"13,5","0,52","8,62"
"Oeuf, poché",138,"12,5","0,71","9,47"
"Oeuf, à la coque",142,"12,2","1,08","9,82"
"Oeuf, au plat, frit, salé",204,"14,3","0,74",16
"Oeuf, brouillé, avec matière grasse",145,"9,99","1,62",11
"Oeuf, au plat, sans matière grasse",147,"13,8","1,01","9,72"
"Oeuf, cru",140,"12,7","0,27","9,83"
"Oeuf, blanc (blanc d'oeuf), cru","48,1","10,8","0,85","0,19"
"Oeuf, jaune (jaune d'oeuf), cru",307,"15,5","1,09","26,7"
"Oeuf de caille, cru",154,"13,1","0,41","11,1"
"Oeuf de cane, cru",181,13,"1,31","13,8"
"Oeuf d'oie, cru",180,"13,8","1,4","13,3"
"Oeuf de dinde, cru",166,"13,7","1,13","11,9"
"Oeuf, jaune (jaune d'oeuf), en poudre",660,"34,1","2,77",57
"Oeuf, blanc (blanc d'oeuf), en poudre",356,"81,2","7,73",0
"Oeuf, en poudre",582,"47,9","3,11",42
Omelette au fromage,255,"17,7","2,56","19,3"
Omelette aux lardons,267,"12,5","1,46","23,5"
Omelette aux champignons,125,"8,09","2,28","9,2"
Omelette aux fines herbes,147,"9,5","1,98","11,2"
"Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée",165,"5,56","11,7","9,9"
"Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen)",184,"9,82","5,07","13,5"
"Protéine de soja texturée, réhydratée",150,"20,4","7,03","2,9"
"Tofu nature, préemballé",148,"14,7","2,87","8,5"
"Tofu fumé, préemballé",164,"16,4","2,91","9,5"
"Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé",157,"21,3","6,76","3,7"
"Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé",185,"19,3","8,19",7
"Seitan, préemballé",134,"20,6","6,74","2,5"
"Lait entier, UHT","65,1","3,25","4,85","3,63"
"Lait entier, pasteurisé","56,5","3,23","3,47","3,3"
"Lait demi-écrémé, UHT, enrichi en vitamine D seulement","46,6","3,31","4,8","1,52"
"Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines","44,1","3,31","4,79","1,25"
"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)","47,3","3,32","4,82","1,59"
"Lait demi-écrémé, UHT",47,"3,31","4,83","1,55"
"Lait demi-écrémé, pasteurisé","46,4","3,13","4,9","1,54"
"Lait écrémé, UHT","33,4","3,44","4,64","0,06"
"Lait écrémé, pasteurisé","34,5","3,21","4,99","0,19"
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose,"44,4","3,38","4,69","1,29"
"Lait de chèvre, entier, UHT","56,1","3,33","4,35","2,83"
"Lait de chèvre, demi-écrémé, UHT","45,8","3,69","4,13","1,57"
"Lait de chèvre, entier, cru","57,4","3,15","4,01","3,2"
"Lait de jument, entier",50,"2,36","6,18","1,73"
"Lait de brebis, entier",103,"5,56","4,5","6,97"
"Lait en poudre, entier",499,"26,9","37,5","26,8"
"Lait concentré non sucré, entier",122,"6,31","9,91","5,9"
"Lait concentré sucré, entier",323,"7,54","55,6","7,87"
"Lait en poudre, demi-écrémé",459,"30,8","43,4","17,5"
"Lait en poudre, écrémé",361,"34,6",54,"0,7"
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei",-,"2,84","3,64","0,1"
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré","73,7","2,92","11,6","1,4"
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei",-,"2,75","12,7","1,52"
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D",-,"3,02","12,6","1,2"
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré","82,8","3,03","13,1","1,69"
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D",-,"2,97","13,9","1,5"
"Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei",-,"2,7","12,9","1,6"
"Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus","94,4","3,75","11,5","3,1"
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus",-,"4,58","6,71","0,094"
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus","97,2","3,5",13,"3,01"
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol",-,"3,8","6,6","0,5"
"Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus",-,"4,3","5,75","0,3"
"Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus","64,5","3,77","3,47","3,6"
"Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus",-,"3,73","13,3","2,72"
"Yaourt à la grecque, au lait de brebis","69,1","3,76","4,99","3,4"
"Yaourt à la grecque, sur lit de fruits",-,"2,27","16,3","6,3"
"Yaourt au lait de brebis, aromatisé, sucré","93,7","4,94","9,33","3,7"
"Yaourt au lait de brebis, nature, 3% MG environ",-,"5,6","4,6",3
"Yaourt au lait de chèvre, nature, 5% MG environ","73,4","4,06","1,12","5,2"
"Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré",-,"2,89","15,2","3,91"
"Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG",-,"4,53","8,25","1,08"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG","54,5","4,44","8,29","0,06"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré","89,1","3,35","12,2","2,6"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème",-,"3,02","13,4","5,45"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D",-,"3,36","13,6","1,79"
"Yaourt, lait fermenté ou spécialité laitière, aux céréales",-,"3,57","11,3","3,43"
"Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré",122,"3,44","14,1","5,1"
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG","38,9","4,13","3,72","< 0,3"
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D",-,"4,45","7,45","0,097"
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré","95,7","3,54","14,2","2,4"
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème",109,"2,38","14,5","4,28"
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D",-,"3,44",14,"2,35"
"Yaourt, lait fermenté ou spécialité laitière, nature","45,5","3,88","2,65","1,5"
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG","39,4","4,73","4,1","0,064"
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D",-,"4,5",5,0
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D",-,"4,33","5,4","1,17"
"Yaourt, lait fermenté ou spécialité laitière, nature, à la crème",115,3,"3,08","9,8"
"Yaourt, lait fermenté ou spécialité laitière, nature, sucré","84,3","3,41","12,5","1,95"
Yaourt ou spécialité laitière nature (aliment moyen),"56,8","3,8","4,73","2,3"
Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen),"69,4","3,57","7,47","2,5"
Yaourt ou spécialité laitière aux fruits (aliment moyen),"93,1","3,14","12,8","2,89"
"Spécialité laitière type encas, riche en protéines, sur lit de fruits, sucrée","98,3","7,31","11,5","2,29"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen)","42,4","4,2","4,92","0,13"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, non allégé en MG (aliment moyen)","93,2","3,17","12,9","2,81"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen)","42,4","4,2","4,92","0,13"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré (aliment moyen)","93,3","3,18",13,"2,83"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen)","93,2","3,18",13,"2,83"
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits (aliment moyen)","89,3","3,25","12,4","2,63"
"Lait fermenté à boire, nature, maigre","33,6","3,44","2,18","0,6"
"Lait fermenté à boire, nature, au lait entier","55,7","3,31","1,99","3,2"
"Yaourt à la grecque, nature",-,"3,25","4,21","9,22"
"Yaourt à la grecque, aromatisé, sucré",-,"4,2","12,8","8,2"
Kéfir de lait,-,"3,13","4,5","3,5"
"Yaourt au lait de brebis, nature, 6% MG environ",-,"5,04","4,56","6,08"
Fromage blanc nature ou aux fruits (aliment moyen),"87,7","6,95","5,68","4,31"
"Fromage frais type petit suisse, aromatisé chocolat, sucré",-,"3,87","20,9","5,18"
Faisselle au coulis de fruits,-,"3,5","8,5",5
"Faisselle, 0% MG",-,"4,38","4,44",0
"Faisselle, 6% MG environ","84,2","4,38","3,57","5,5"
"Fromage blanc et crème fouettée sur lit de fruits, sucré",-,"4,5",16,7
"Fromage blanc nature, 0% MG","49,4","7,78","3,89","0,044"
"Fromage blanc nature, 0% MG, enrichi en vitamine D",-,"7,4",5,"0,1"
"Fromage blanc nature, 3% MG environ","76,9","7,86","3,46","3,26"
"Fromage blanc nature, 3% MG environ, au bifidus",-,"7,04","3,94","3,28"
"Fromage blanc nature, 3% MG environ, enrichi en vitamine D",-,"6,9","5,4","3,2"
"Fromage blanc nature, gourmand, 8% MG environ",116,"6,07","5,25","7,65"
"Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ",-,"6,75","3,74","10,2"
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG",-,"6,98","12,5","< 0,025"
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ",-,"6,26","13,1","2,65"
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ, au bifidus",-,"5,47",14,"3,2"
"Fromage blanc ou spécialité laitière, aux copeaux de chocolat, sucré, 7% MG environ",-,"5,23","16,2","5,97"
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 0% MG",-,"6,11","6,76","0,12"
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG",-,"7,77","13,5",traces
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ",-,"5,13","14,7","3,31"
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ, au bifidus",-,"5,25","13,5","2,98"
"Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ",-,"5,08","13,4","5,53"
"Fromage frais type petit suisse, aux fruits, 2-3% MG","92,7","6,56","9,34","2,8"
"Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D",-,"6,29","12,2","2,63"
"Fromage frais type petit suisse, nature, 0% MG",-,"9,69","3,8","0,24"
"Fromage frais type petit suisse, nature, 4% MG environ","88,8","9,75","2,84",4
"Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D",-,"6,35",6,"0,45"
"Fromage frais type petit suisse, nature, 10% MG environ",149,"9,5","3,17","10,4"
"Fromage frais type petit suisse, aromatisé ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D","90,4","5,63","10,2","2,5"
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ",-,"3,1","12,2","2,5"
"Crème dessert, allégée en MG, rayon frais","79,2","3,56","12,4","1,3"
"Flan aux oeufs, rayon frais",111,4,"18,5","2,2"
"Lait emprésuré aromatisé, rayon frais",-,"5,52","17,6","2,5"
"Lait gélifié aromatisé, nappé caramel, rayon frais","91,9","2,5","16,7","1,3"
"Lait gélifié aromatisé, rayon frais",-,"3,32","19,5","3,53"
"Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais",-,"2,94","18,8","5,78"
"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",-,"4,08","11,8","1,08"
"Panna cotta, avec préparations de fruits ou caramel, rayon frais",198,"2,69","14,9",13
"Gâteau de semoule aux raisins et caramel, rayon frais",146,"3,81","24,8","3,4"
"Gâteau de riz au caramel, rayon frais",143,"3,19","25,4","3,1"
"Milk-shake, provenant de fast food",126,"3,32","17,4","4,66"
"Crème dessert au chocolat, rayon frais",130,"3,32","19,9","3,93"
"Mousse au chocolat (base laitière), rayon frais",150,"5,31","21,3","4,4"
"Crème caramel, rayon frais",132,"4,35","20,6","3,6"
"Crème aux oeufs (petit pot de crème chocolat, vanille, etc.), rayon frais",176,"4,23","19,4","8,88"
"Riz au lait, rayon frais",126,"3,27","21,4","3,01"
"Crème brûlée, rayon frais",272,"4,37","16,6","20,8"
"Crème dessert à la vanille, appertisée",132,"3,63","21,1","3,62"
"Ile flottante, rayon frais",129,"4,87","19,8","3,31"
"Semoule au lait, rayon frais",121,"3,39","19,4","3,23"
"Mousse aux fruits, rayon frais","53,1","6,13","5,51","< 0,3"
"Crème dessert à la vanille, rayon frais",105,3,"14,4","3,6"
"Crème dessert, rayon frais (aliment moyen)",133,"3,35","17,9","5,1"
